latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
53.0274,27.5597,BY,61802,621741,Slutsk,-4.25,-7.71,0.75,6.56,12.26,19.97,22.95,17.91,11.3,7.3,3.59,-2.96
53.0869,25.3163,BY,51434,621754,Slonim,-3.95,-6.54,1.35,6.49,11.91,19.59,22.1,17.23,11.77,7.79,4.0,-2.79
53.6014,24.7465,BY,15475,622113,Shchuchyn,-4.1,-6.6,1.02,5.97,11.39,19.13,21.78,16.7,11.39,7.68,3.87,-3.02
52.7876,27.5415,BY,106627,622428,Salihorsk,-4.09,-7.34,0.92,6.58,12.4,20.08,22.89,17.86,11.46,7.36,3.73,-2.81
53.0934,30.0495,BY,34700,622739,Rahachow,-4.81,-8.75,0.42,6.69,12.48,19.98,23.67,18.83,10.86,6.79,3.24,-3.03
52.3617,30.3916,BY,65400,622794,Rechytsa,-4.26,-8.22,1.11,6.85,12.89,20.29,23.87,19.61,11.44,7.09,3.5,-2.66
52.556,24.4573,BY,19135,622997,Pruzhany,-3.3,-5.68,1.84,6.51,12.28,19.71,22.53,17.25,12.22,8.1,4.43,-2.38
55.4879,28.7856,BY,82258,623317,Polatsk,-4.67,-7.86,0.48,6.14,11.49,19.83,22.28,17.1,10.48,6.86,2.79,-4.72
52.1229,26.0951,BY,130777,623549,Pinsk,-3.13,-5.52,1.8,7.08,12.99,20.04,23.01,17.89,12.34,7.87,4.43,-2.41
55.11676,26.83263,BY,19800,623760,Pastavy,-4.83,-7.55,0.87,5.93,11.05,19.52,22.42,16.56,10.83,7.34,3.04,-4.4
53.3011,28.6386,BY,34591,624034,Asipovichy,-4.59,-8.21,0.52,6.44,12.14,19.73,23.25,18.01,10.85,7.05,3.34,-3.15
54.5081,30.4172,BY,125347,624079,Orsha,-5.01,-9.04,-0.35,6.31,12.0,19.67,22.78,18.06,10.29,6.38,2.5,-4.17
55.5318,28.5987,BY,108000,624784,Navapolatsk,-4.77,-7.94,0.52,6.11,11.42,19.8,22.27,17.01,10.5,6.88,2.79,-4.76
53.5942,25.8191,BY,29441,624785,Novogrudok,-5.11,-7.78,-0.13,5.36,10.64,18.31,21.04,16.19,10.39,6.84,2.99,-3.9
53.9,27.56667,BY,1742124,625144,Minsk,-5.18,-8.42,0.08,5.91,11.18,19.15,22.28,17.15,10.34,6.74,2.79,-4.21
52.0495,29.2456,BY,112348,625324,Mazyr,-3.95,-7.0,1.27,6.64,12.94,20.58,23.54,19.17,11.82,7.43,3.95,-2.72
53.4122,24.5387,BY,15770,625367,Mosty,-3.72,-6.34,1.4,6.44,11.92,19.65,22.19,17.15,11.94,8.05,4.26,-2.58
53.509,28.147,BY,20100,625409,Mar’’ina Horka,-4.81,-8.5,0.46,6.26,11.77,19.4,22.64,17.6,10.62,6.91,3.18,-3.4
54.3167,26.854,BY,101300,625625,Maladziečna,-4.81,-7.82,0.77,5.96,11.21,19.21,22.26,16.98,10.68,7.29,3.21,-3.99
53.9168,30.3449,BY,369200,625665,Mahilyow,-5.15,-9.31,-0.02,6.37,12.06,19.71,23.17,18.12,10.3,6.45,2.6,-3.88
54.8814,28.699,BY,17400,625743,Lyepyel’,-5.04,-8.51,0.16,5.91,11.37,19.42,22.05,17.19,10.32,6.73,2.71,-4.4
52.2472,26.8047,BY,25000,625818,Luninyets,-3.36,-6.14,1.63,6.94,12.97,20.46,23.34,18.08,12.18,7.83,4.35,-2.38
53.88333,25.29972,BY,102700,626081,Lida,-4.39,-6.79,0.92,6.12,11.46,19.23,21.99,16.9,11.24,7.67,3.74,-3.25
